n,role(A=1),lead(L/LF=1),CH/CH_pair,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24
1,1,1,1,0.739583252326169,-0.480885355319346,0.0280972937848584,0.113666184168865,-2.03033362686408,1.63993004349612,-0.908690031313653,-0.161380626022014,0.720412086977419,-1.40240310601116,0.047974974072638,0.787830441407785,-0.366607820255447,0.0444465345084673,-0.29353875148828,1.17458176268658,-1.18192984924223,-0.925342709835098,0.130222903536696,-0.524334065404726,1.5014954881281,-0.857499609023957,-1.49861939035612,1.28642291599572
1,1,0,1,0.393246653354578,-0.446372384130599,-0.283980336487968,0.419961806793996,-0.136897977620725,0.72317869356029,0.0570891814056583,0.406121816118523,-0.159339747003471,2.030017636893,-0.299790703022182,0.516829201659514,0.508156621948943,-0.509495818550016,0.221053827623716,1.88811081489836,-0.526820225622629,2.16187722604533,-0.451802824023171,1.57444064137822,-0.558800436439459,0.333039949831413,0.630300454542435,0.71326236713862
1,2,1,1,-0.580092294057415,0.710359887963409,0.128932160825305,1.10594768193569,-0.893494870610144,0.475562211537432,1.19496354573914,0.414305211839389,-0.380951831178781,0.948337715461122,-1.06514196921076,1.23699306089727,-0.591490254252415,1.08873787007297,-0.927642395325833,1.43219429113853,-1.71554913981566,1.88576109748577,-1.13811484874506,1.03265382166354,-0.917184940060177,0.515066602386201,0.248713243625925,0.348708111475205
1,2,0,1,0.503409128312947,-1.15462622638274,-0.428770466520463,0.594263191539241,-0.8821597377644,-0.276690837349275,-0.129242706165556,-0.184061987707604,-0.0437223511420935,-0.873945766121688,-0.111642812741311,-1.07291368095567,0.900205968750136,0.0793435134409342,-0.456651654899985,-0.732273220216004,0.00113660688223172,-0.278200405271951,0.344523389762225,-1.27344960339292,-0.188740282140655,-0.954921427271078,-0.602825797963475,-0.431439152571055
1,1,1,2,0.360510094872558,-0.312124241695038,-0.752789874708151,1.03490399381913,-1.45623966046036,1.068979060852,-0.168893318776124,-1.28182550339424,0.867211042766459,-0.842943916589064,0.79645877739527,1.15399661756611,-0.841757920797048,-0.553399000793165,0.518860483675209,0.326730447630851,-0.557223799659982,-0.656732159129426,0.211885547456186,-0.325651821740709,2.41915668301739,-1.07696925329873,-0.992489246297278,0.689996958568382
1,1,0,2,0.462140268781442,-0.405516057771178,0.397331026471527,-0.0180576044530496,-0.0948014938075599,0.196118773294597,-0.406601840078578,0.33510515387469,0.408324114311089,-0.608801878164999,0.303493167928899,0.321840391919494,-0.0864247778574428,-0.305726759454779,0.839046645049735,0.538014334640734,0.264450204207227,-0.0159130532529115,0.646425413806713,-1.82616138142419,-0.512383231731534,1.75551531985306,-0.0389571784085323,0.968557288165056
1,2,1,2,0.710324175747873,-0.812216233914014,0.067440936024548,-0.0117380338482536,-0.643970088138441,1.2040351837696,-0.769455576124318,-0.427581948229458,-0.553955891999804,-1.87816736987211,0.0907839837814963,-1.26807506482637,0.236432098685295,0.493368622765358,-0.974466312291005,-0.336130493122279,-0.533314575832597,-1.07583372126601,-0.060708417045951,-0.745766659881634,-0.503300136295535,0.427734570873339,-0.299130696176137,-0.580041540708126
1,2,0,2,-0.046399412683868,-0.414832150655555,-0.245949264853081,0.16483688982828,-0.301688538363824,-0.52760967730769,1.2825959189744,-0.718751443060457,-0.460979579554653,0.0195006538208161,-0.236727569922366,-0.280392391419973,-0.021635683494907,0.0567063638834703,-0.168955059637741,-0.661443834003567,0.0106362197969981,-0.593549827255422,0.538228544940591,-0.558577777307116,0.330848510664142,-0.524282475502854,-0.823927095946836,0.426882140256771
1,1,1,3,-0.0905967477911536,-0.498618073232277,-0.391101523464031,0.697595628745589,-0.745423307919397,-0.0216008215214775,0.0476924420820012,-1.02377478423117,0.872414169215164,-1.39231370758536,1.27824172279417,-0.470947190641181,0.455026431297919,-0.562053377730254,-0.199291522861615,1.48297590363288,-1.07729571077047,-2.05501078908187,0.517627115014283,-0.304365745454685,0.706069054158146,-0.413505969533063,-2.69499663076985,0.886812661714559
1,1,0,3,0.694921944260807,-0.548172431532396,-0.129298341921012,0.601327632192275,-0.104368192843358,0.608145993784467,0.196261843357454,0.536269131860242,-0.297245383714474,2.30470046292117,-0.0907711766629642,0.558696868426295,1.17141793911156,-0.676000600174298,0.197438997204281,1.93846925907658,-0.513833496927122,2.71577037442959,-0.256426545277286,1.17302212898646,-0.0646038212654385,0.1650313273794,1.0031650522612,0.775912168258598
