n,role(A=1),lead(L/LF=1),CH/CH_pair,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24
1,1,1,102,0.467748274282239,0.341918058480061,0.248538457381673,0.309262142085421,0.295362190080815,0.364504492125079,0.395485567084696,0.336386438905732,0.264568935628066,0.235824670094883,0.327602169670804,0.598131103636758,0.435033056947372,0.546115915208347,0.405327218990745,0.388635131269401,1.04367347750991,0.623106442643769,0.498737722917927,0.627919779803405,0.623956945031827,0.521259824904899,0.5473743984529,0.508666582597544
1,1,0,102,0.450913877976655,0.317339935863897,0.431327146134738,0.552506941031777,0.494023096270358,0.562293073109502,0.638304452162974,0.358272795330031,0.469948452691856,0.561197172361795,0.829929067585823,0.452107074774659,0.560073571944559,0.839046439961783,0.646927319970575,0.473713421117107,0.489347751049996,0.82411528129595,0.552958939108597,0.421916822082796,0.438209545001824,0.447154345511916,0.288977998884963,0.455645153948113
1,2,1,102,0.794931427638369,0.266691424018776,0.226785763320054,0.570230438129902,0.294448071280467,0.245012865598859,0.154283315131676,0.355305423171985,0.239054456762694,0.348021179596149,0.364669299768007,0.103678100764804,0.418778630438989,0.259844420340816,0.196685427874538,0.343043106158001,0.357988103507268,0.279068463794509,0.280133994563161,0.456583957848131,0.341579737404277,0.300816331330905,0.216379850057827,0.403376821140468
1,2,0,102,0.492487379480462,0.37965245938108,0.308538548159803,0.390917329115647,0.198937893627049,0.405836438259713,0.434090890360463,0.427789002890416,0.337094840686281,0.245522487704771,0.408781957624926,0.261325082311451,0.476050220061645,0.364955967323449,0.335897763036592,0.397946300319371,0.381907283537838,0.38697609684732,0.464559208750005,0.279845188579367,0.459023998387613,0.507187692054342,0.428049162224406,0.304765334859014
1,1,1,105,0.462789272838935,0.722913442129423,0.717069586019397,0.644481257631867,0.296794137779847,0.620443040313367,0.64886881290042,0.639803170696845,0.655048115179363,0.572953732718564,0.507245261195247,0.593500797413539,0.673720927443977,0.485228334588601,0.656631408266535,0.458130728615405,0.844392811318247,0.537898595797766,0.756070179060279,0.763356483045041,0.562514314198776,0.486725997700994,1.11688193540889,0.676951852093446
1,1,0,105,0.672504791970215,0.643226705516917,0.345638006839982,0.473580857456904,0.510671160809402,0.544621286832372,0.452514264336701,0.347795695320552,0.344607278784024,0.44175880940439,0.467201262112699,0.465981565776835,0.609140214528408,0.613761210535678,0.572153283288918,0.624521838397227,0.951971716972331,0.631200494554204,0.415910256209395,0.270318908884203,0.468894547738344,0.317898596972898,0.424049112474195,0.495663618426757
1,2,1,105,0.565368441938325,0.227802767599108,0.1184791070861,0.468213612985186,0.390244722272522,0.29291920289091,0.339216054278554,0.361910307515399,0.240967751697882,0.330853166261495,0.420742531904997,0.216530572225621,0.637308211873977,0.408988491175942,0.305838354904439,0.340546023109811,0.406026464706403,0.228436351295606,0.262261707369349,0.550270024110802,0.425026031665178,0.266940894226655,0.221136434366049,0.522536648237681
1,2,0,105,0.484740692866085,0.499098903173492,0.510755487189187,0.59431680873857,0.582879056390761,0.492183731768012,0.399981679111307,0.262704017650666,0.368512505154679,0.317696353990672,0.520447023760677,0.317000289909358,0.480208267371105,0.339800997137696,0.567681386469967,0.789254281752177,0.572880600601286,0.614698582901649,0.592620828835557,0.393193477221005,0.711890803084275,0.730410373288598,0.701333960599758,0.83695607243963
1,1,1,106,0.329441227873016,0.657270343584394,0.847084202279938,0.766468332289335,0.55564859367313,0.570113139414987,0.663894383346799,0.665039771429378,0.648338637580845,0.634717597303475,0.70218291712504,0.612305581197085,0.524605643757376,0.52188668816432,0.645879625725817,0.511854439600785,0.923040845308573,0.568900685569846,0.639120553396481,0.741639386651755,0.592278652187305,0.613248049981587,1.10111976456709,0.697470016736642
1,1,0,106,0.540407803548463,0.469826598549112,0.374658349431928,0.678872614452288,0.767717387117009,0.634560802978128,0.437920679831771,0.413131177138756,0.623327878510694,0.432534573435826,0.466763800913443,0.437118622631982,0.801051793452537,0.849032814762512,0.66531776310288,0.389027242230903,0.340265365862473,0.595660895477692,0.520678036405389,0.4982902721506,0.491888019756377,0.49418200203085,0.411852728059105,0.632823883622313
1,2,1,106,0.461722083131492,0.280863404623228,0.425862182117037,0.55792745677992,0.431458736985975,0.327942915132996,0.413226321958433,0.383588780710461,0.385598151558155,0.406264592032441,0.416877240624644,0.606895329199786,0.918609319203466,0.500512540388009,0.424807285852191,0.349190858937866,0.490433877804123,0.2693878161759,0.274040269185342,0.754830870515799,0.761184201306672,0.454861864791626,0.129967716596276,0.610617293691335
1,2,0,106,0.860834954335924,0.821047348386858,0.833865467609531,0.45637576896223,0.484028743988461,0.750638794016492,0.889424145045074,0.690026970360411,0.591394929966286,0.619570711132552,0.775390145644605,0.668319026518458,0.777225598381738,0.603583457322167,1.01853572196029,0.694759773296414,0.507107774136871,0.803947912689004,0.711943091735398,0.607432254134152,0.578600294255384,0.539713179949643,0.704851200043528,0.805313747890884
1,1,1,108,0.522659337820763,0.605776968104066,0.707402312050903,0.532628606898033,0.377916705799767,0.519737322282849,0.645624794055842,0.60162738232483,0.562846543197642,0.626684362647229,0.536587770962646,0.616043041659782,0.700030250407696,0.65983954009745,0.630478164470293,0.430800170966134,0.765811874547497,0.705881421761484,0.757468154434514,0.72781893285783,0.668608364358186,0.59586798735996,1.03143594043961,0.755294102777778
1,1,0,108,0.42843991538476,0.366268918300146,0.516213452200236,0.680127418945451,0.635227450694311,0.715243473705577,0.531122849028954,0.362981796850651,0.558930330349454,0.558018105786756,0.589737372703389,0.530363027088301,0.555062548897367,0.581734454903515,0.705493353687198,0.376144958639117,0.452356047329176,0.426888242830808,0.399197940898368,0.406985591076762,0.462894301733013,0.313557109583289,0.459546202624255,0.558759295663764
1,2,1,108,0.278970941968211,0.376683339294995,0.867928591627567,1.06376398080667,0.88901292782021,0.549548912642334,0.509446552201028,0.566471631153035,0.305269922371442,0.756840206467812,0.699723809984291,0.730681823200036,0.76004796132472,0.994859125285955,0.70633874968888,0.761509294258987,0.929108283111064,0.566728702343847,0.517831651368184,0.943362438671828,0.605463087580659,0.704087887188069,0.479743064609009,0.617586144129513
1,2,0,108,0.5798285421073,0.590847321154688,0.447973489380007,0.554841587623124,0.457336390236083,0.324299352710133,0.59637464434346,0.32451285610996,0.315614114276455,0.33952740359443,0.515021949112227,0.490972645311016,0.59086690772844,0.373130590213839,0.536725092784291,0.701097151427002,0.540901830635218,0.448483001148879,0.533910375547864,0.418822016834246,0.518559118061317,0.487813745522504,0.520566435357014,0.905813099080387
1,1,1,111,0.401370158144097,0.614969048968028,0.926791921379863,0.640598613146788,0.4505223925915,0.538340234681552,0.842639592533894,0.781874902778613,0.802609399811662,0.82213784973226,0.693206556170649,0.682504843246925,0.613113356607519,0.723729156036962,0.729996485541095,0.670659736031856,0.9974725345369,0.575873092113933,0.715639629418181,0.728466882923463,0.602532118686989,0.577595497826494,1.121205676315,0.724986092757345
1,1,0,111,0.593253169160458,0.513199160108857,0.415771406591273,0.471736286203887,0.466814961432699,0.58990817937838,0.478686006778921,0.311291165970178,0.479970286605442,0.504788572199496,0.54338914393177,0.417574497149011,0.468352814227093,0.525833335862787,0.473164230108892,0.31571415070154,0.389681216987088,0.507354996870885,0.322552376888152,0.313592642822446,0.529799237610724,0.282032201326397,0.306541734416729,0.408200869140736
1,2,1,111,0.521727801999466,0.523342478040779,0.932641471344712,0.940242519082319,0.896532579586097,0.558549928872945,0.63128852220749,0.746692203254584,0.53117243205044,0.76606570448957,0.693994335729243,0.87952788222334,0.942986620621902,1.09412146571008,0.680683176568888,0.755442655197645,0.864845213964176,0.779417179296943,0.557442546170836,0.912776431351466,0.699484665901824,0.837190633708169,0.62491433226535,0.959539198918423
1,2,0,111,0.895979512864729,0.630606363805012,0.414202411748273,0.620440352730117,0.567912089910089,0.323796133230211,0.530554341029204,0.400228136702764,0.399694377502762,0.405657313917948,0.406167860022054,0.360546201123418,0.394151958246844,0.322122293044598,0.425901733718417,0.653523802047926,0.663881789782245,0.493438358237993,0.474159008875421,0.477105698733932,0.641891044002995,0.404059240917918,0.433634212054974,0.641188037330976
1,1,1,112,0.356646510317842,0.431364983779713,0.619448112244346,0.64646118581598,0.356686425200501,0.551856795056892,0.705556019031236,0.677190927377216,0.612828094461497,0.778996347784775,0.763503411231509,0.740347532537333,0.632896939255623,0.623095288765519,0.779998244675632,0.761895714903895,0.942130038760393,0.781810564363173,0.601194589465017,0.82947270824098,0.544345153547424,0.696870958476129,1.02585887963291,0.699217664455371
1,1,0,112,0.553241475789764,0.472919206157775,0.508218988755497,0.646384103301896,0.59119578468508,0.623619875553464,0.394607728645387,0.474609242017285,0.554516605156396,0.331648353910097,0.503668974428661,0.523653406054113,0.743944590514357,0.792531892159808,0.577183425868191,0.39010060958251,0.45285381144477,0.804732778022423,0.466219120856118,0.335898395599338,0.451931488097858,0.308078385147309,0.372503587863467,0.67605560086749
1,2,1,112,0.522700599818514,0.62396366394168,1.0738785465176,0.937686888834693,0.788579933329788,0.586968928172297,0.629905577543273,0.756115623064808,0.307870305734164,0.736485225432459,0.72820165042691,0.8108188850872,0.865472622837371,1.07854246909468,0.910097738628868,0.765948739146049,0.742688712889995,0.680559639320241,0.487769005382729,0.787626245430882,0.736357231218906,0.952326653600335,0.671202710684806,0.783415647870921
1,2,0,112,0.968416126544076,0.669385514784957,0.549653657319182,0.577806075777094,0.592856374440265,0.729110870577098,0.910618345670562,0.877014335671301,0.632816637767081,0.986516398113763,0.879119846686409,0.698478441724611,0.685223631794873,0.639108891709892,0.761617849811803,0.856373775267206,0.684599526456251,0.88792807551878,0.764361935468237,0.624604937928827,0.50918098632766,0.594926587071941,0.722393879549815,1.00083931107027
1,1,1,114,0.327480172935297,0.612836817380826,0.809410769162911,0.673554439311764,0.422841556811153,0.41913120440995,0.77268218963181,0.622966935529862,0.639569656485788,0.633156742847065,0.625093465502286,0.649448222621143,0.527368116398196,0.63998156339168,0.700994646495746,0.405344855201214,0.679218465923229,0.49247547950997,0.642067017097029,0.793151998866949,0.62354313196543,0.525829222309932,0.922558345200832,0.60762268692011
1,1,0,114,0.500935195002158,0.621767981599884,0.55429657011194,0.468513106488042,0.631069192561226,0.586677349190063,0.384941433043647,0.530998500816723,0.629149885530989,0.45493275472113,0.553746839731787,0.540646654867201,0.551038146763959,0.459131741002957,0.677114811139465,0.326141421727192,0.40026109283876,0.392158852085749,0.35663204882353,0.327718747214625,0.577322176035536,0.341653061736049,0.430764141260318,0.474045206823756
1,2,1,114,0.727549839878497,0.430725415351685,0.820775000318691,0.789522675985929,0.840182843460649,0.671672960283185,0.73394891716311,0.737563738184694,0.468292784381565,0.693384029454473,0.801342720778672,0.832541087342931,0.908140231167438,0.951123591108043,0.731863909293033,0.774260333317749,0.739356353055425,0.786414976570946,0.778108662107521,0.776375559032133,0.612161736158166,0.575596563185009,0.509491242831379,0.618389608533051
